BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SEGMENT,BALANCE_GROUP,BALANCE_FREQ_GROUP,PURCHASES_GROUP,ONEOFF_PURCHASES_GROUP,INSTALLMENTS_PURCHASES_GROUP,CASH_ADVANCE_GROUP,PURCHASES_FREQ_GROUP,ONEOFF_PURCHASES_FREQ_GROUP,PURCHASES_INSTALLMENTS_FREQ_GROUP,CASH_ADVANCE_FREQ_GROUP,CASH_ADVANCE_TRX_GROUP,PURCHASES_TRX_GROUP,CREDIT_LIMIT_GROUP,PAYMENTS_GROUP,MIN_PAYMENTS_GROUP,PRC_FULL_PAYMENT_GROUP
921.69,1.0,2137.93,419.96,1717.97,0.0,0.75,0.17,0.75,0.0,0,26,7500.0,1655.89,251.14,0.08,12,1,0-2000,0.81-1,2001-4000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.61-0.8,0-0.2,0-5,16-30,6001-8000,0-2000,0-2000,0-0.2
2772.77,1.0,0.0,0.0,0.0,346.81,0.0,0.0,0.0,0.08,1,0,3000.0,805.65,989.96,0.0,12,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
6886.21,1.0,1611.7,0.0,1611.7,2301.49,0.5,0.0,0.5,0.17,4,11,8000.0,1993.44,2109.91,0.0,12,1,6001-8000,0.81-1,0-2000,0-2000,0-2000,2001-4000,0.41-0.6,0-0.2,0.41-0.6,0-0.2,0-5,0-15,6001-8000,0-2000,2001-4000,0-0.2
2072.07,0.88,0.0,0.0,0.0,2784.27,0.0,0.0,0.0,0.25,3,0,3000.0,391.97,376.58,0.0,8,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,2001-4000,0-0.2,0-0.2,0-0.2,0.21-0.4,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
41.09,0.45,519.0,0.0,519.0,0.0,0.42,0.0,0.33,0.0,0,8,2500.0,254.59,73.2,0.25,12,0,0-2000,0.41-0.6,0-2000,0-2000,0-2000,0-2000,0.41-0.6,0-0.2,0.21-0.4,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0.21-0.4
1989.07,1.0,504.35,166.0,338.35,0.0,0.67,0.08,0.58,0.0,0,9,13000.0,1720.84,744.61,0.0,12,2,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.41-0.6,0-0.2,0-5,0-15,12001-14000,0-2000,0-2000,0-0.2
3577.97,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.98,12465.55,0.0,12,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,0-15,2001-4000,0-2000,12001-14000,0-0.2
2016.68,1.0,176.68,0.0,176.68,0.0,0.67,0.0,0.67,0.0,0,8,2000.0,223.07,13557.3,0.0,12,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.61-0.8,0-0.2,0-5,0-15,0-2000,0-2000,12001-14000,0-0.2
6369.53,1.0,6359.95,5910.04,449.91,229.03,1.0,0.92,1.0,0.33,6,92,11250.0,2077.96,1659.78,0.0,12,2,6001-8000,0.81-1,6001-8000,4001-6000,0-2000,0-2000,0.81-1,0.81-1,0.81-1,0.21-0.4,6-10,91-105,10001-12000,2001-4000,0-2000,0-0.2
132.34,0.64,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.63,86.33,0.0,12,0,0-2000,0.61-0.8,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,16-30,0-2000,2001-4000,0-2000,0-0.2
3800.15,0.82,4248.35,3454.56,793.79,7974.42,1.0,0.08,0.92,0.33,13,13,9000.0,9479.04,1425.43,0.0,12,1,2001-4000,0.81-1,4001-6000,2001-4000,0-2000,6001-8000,0.81-1,0-0.2,0.81-1,0.21-0.4,11-15,0-15,8001-10000,8001-10000,0-2000,0-0.2
5368.57,1.0,0.0,0.0,0.0,798.95,0.0,0.0,0.0,0.36,4,0,6000.0,1422.73,1657.0,0.0,11,1,4001-6000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0.21-0.4,0-5,0-15,4001-6000,0-2000,0-2000,0-0.2
169.78,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.31,163.01,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
1615.97,1.0,102.0,102.0,0.0,244.84,0.17,0.17,0.0,0.25,5,2,1700.0,890.18,971.18,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0.21-0.4,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
125.69,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.77,164.75,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
7152.86,1.0,387.05,204.55,182.5,2236.15,0.67,0.17,0.42,0.83,16,8,10500.0,1601.45,1648.85,0.0,12,2,6001-8000,0.81-1,0-2000,0-2000,0-2000,2001-4000,0.61-0.8,0-0.2,0.41-0.6,0.81-1,16-20,0-15,10001-12000,0-2000,0-2000,0-0.2
22.06,1.0,100.0,0.0,100.0,0.0,0.42,0.0,0.42,0.0,0,5,6900.0,160.77,159.68,0.0,12,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.41-0.6,0-0.2,0.41-0.6,0-0.2,0-5,0-15,6001-8000,0-2000,0-2000,0-0.2
12136.22,1.0,3038.01,1013.2,2024.81,3183.58,1.0,0.17,1.0,0.5,10,64,13000.0,4230.32,3292.02,0.0,12,2,>10001,0.81-1,2001-4000,0-2000,2001-4000,2001-4000,0.81-1,0-0.2,0.81-1,0.41-0.6,6-10,61-75,12001-14000,4001-6000,2001-4000,0-0.2
1162.27,1.0,1347.71,400.0,947.71,175.82,1.0,0.08,1.0,0.17,2,45,6000.0,646.0,256.85,0.0,12,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,31-45,4001-6000,0-2000,0-2000,0-0.2
6732.82,1.0,324.95,324.95,0.0,1189.53,0.08,0.08,0.0,0.17,3,3,10500.0,1720.12,2506.75,0.0,12,2,6001-8000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,10001-12000,0-2000,2001-4000,0-0.2
125.66,1.0,636.79,636.79,0.0,0.0,0.92,0.92,0.0,0.0,0,11,1200.0,423.45,196.3,0.3,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0.81-1,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0.21-0.4
3517.1,0.73,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.61,17862.56,0.0,12,1,2001-4000,0.61-0.8,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,0-15,10001-12000,8001-10000,16001-18000,0-0.2
1656.35,1.0,0.0,0.0,0.0,99.26,0.0,0.0,0.0,0.08,1,0,1800.0,351.5,634.57,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
7427.08,1.0,0.0,0.0,0.0,8873.38,0.0,0.0,0.0,0.73,11,0,9000.0,1636.36,1986.84,0.0,11,1,6001-8000,0.81-1,0-2000,0-2000,0-2000,8001-10000,0-0.2,0-0.2,0-0.2,0.61-0.8,11-15,0-15,8001-10000,0-2000,0-2000,0-0.2
4047.48,1.0,2380.55,1642.17,738.38,1697.66,0.75,0.5,0.75,0.33,7,41,5000.0,1617.89,1541.14,0.0,12,1,4001-6000,0.81-1,2001-4000,0-2000,0-2000,0-2000,0.61-0.8,0.41-0.6,0.61-0.8,0.21-0.4,6-10,31-45,4001-6000,0-2000,0-2000,0-0.2
6269.42,1.0,204.0,204.0,0.0,2925.7,0.08,0.08,0.0,0.33,12,2,9000.0,1237.11,2049.41,0.0,12,1,6001-8000,0.81-1,0-2000,0-2000,0-2000,2001-4000,0-0.2,0-0.2,0-0.2,0.21-0.4,11-15,0-15,8001-10000,0-2000,2001-4000,0-0.2
1411.6,0.45,963.24,963.24,0.0,6173.68,0.08,0.08,0.0,0.33,6,6,7500.0,20071.08,719.95,0.33,12,1,0-2000,0.41-0.6,0-2000,0-2000,0-2000,6001-8000,0-0.2,0-0.2,0-0.2,0.21-0.4,6-10,0-15,6001-8000,>20000,0-2000,0.21-0.4
663.45,0.73,0.0,0.0,0.0,3133.06,0.0,0.0,0.0,0.25,3,0,1800.0,3067.06,283.33,0.17,12,0,0-2000,0.61-0.8,0-2000,0-2000,0-2000,2001-4000,0-0.2,0-0.2,0-0.2,0.21-0.4,0-5,0-15,0-2000,2001-4000,0-2000,0-0.2
784.89,0.91,1526.59,786.3,740.29,2188.42,0.58,0.42,0.33,0.25,11,27,3000.0,1262.31,363.14,0.11,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,2001-4000,0.41-0.6,0.41-0.6,0.21-0.4,0.21-0.4,11-15,16-30,2001-4000,0-2000,0-2000,0-0.2
4104.71,1.0,203.82,203.82,0.0,0.0,0.08,0.08,0.0,0.0,0,1,4500.0,868.28,1801.26,0.0,12,1,4001-6000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,4001-6000,0-2000,0-2000,0-0.2
1360.74,1.0,0.0,0.0,0.0,1481.59,0.0,0.0,0.0,0.08,1,0,1500.0,378.29,321.35,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
5315.95,1.0,1525.44,469.8,1055.64,0.0,1.0,0.33,1.0,0.0,0,20,8500.0,1430.34,1318.71,0.0,12,1,4001-6000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0.21-0.4,0.81-1,0-0.2,0-5,16-30,8001-10000,0-2000,0-2000,0-0.2
2242.31,1.0,437.0,97.0,340.0,184.65,0.33,0.08,0.33,0.17,2,5,2400.0,0.0,0.0,0.0,12,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0-0.2,0.21-0.4,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
474.45,0.5,109.74,0.0,109.74,1013.66,0.38,0.0,0.25,0.12,1,3,1700.0,176.01,147.2,0.0,8,0,0-2000,0.41-0.6,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0-0.2,0.21-0.4,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
3910.11,1.0,0.0,0.0,0.0,1980.87,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,0.0,0.0,12,1,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0.41-0.6,6-10,0-15,4001-6000,0-2000,0-2000,0-0.2
229.87,1.0,2390.6,1402.93,987.67,0.0,1.0,0.67,1.0,0.0,0,87,3300.0,2543.95,175.66,0.92,12,0,0-2000,0.81-1,2001-4000,0-2000,0-2000,0-2000,0.81-1,0.61-0.8,0.81-1,0-0.2,0-5,76-90,2001-4000,2001-4000,0-2000,0.81-1
863.81,1.0,507.5,507.5,0.0,695.1,0.17,0.17,0.0,0.08,2,3,4000.0,587.87,286.45,0.08,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
4931.33,1.0,901.42,646.07,255.35,8530.65,0.62,0.38,0.25,0.88,37,9,12000.0,8113.3,1012.42,0.0,8,2,4001-6000,0.81-1,0-2000,0-2000,0-2000,8001-10000,0.61-0.8,0.21-0.4,0.21-0.4,0.81-1,36-40,0-15,10001-12000,8001-10000,0-2000,0-0.2
1078.89,1.0,3107.85,2221.74,886.11,0.0,0.67,0.58,0.5,0.0,0,18,2500.0,1399.83,1322.45,0.0,12,0,0-2000,0.81-1,2001-4000,2001-4000,0-2000,0-2000,0.61-0.8,0.41-0.6,0.41-0.6,0-0.2,0-5,16-30,2001-4000,0-2000,0-2000,0-0.2
1565.68,1.0,0.0,0.0,0.0,321.36,0.0,0.0,0.0,0.25,3,0,3500.0,691.83,581.48,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0.21-0.4,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
464.67,0.89,1979.22,1979.22,0.0,1981.27,0.67,0.67,0.0,0.11,1,11,3000.0,3110.05,132.45,0.2,9,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0.61-0.8,0-0.2,0-0.2,0-5,0-15,2001-4000,2001-4000,0-2000,0-0.2
6.66,0.64,310.0,0.0,310.0,0.0,0.67,0.0,0.67,0.0,0,8,1000.0,417.02,417.02,0.0,12,0,0-2000,0.61-0.8,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.61-0.8,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
1312.0,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,0.0,0.0,12,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0.21-0.4,0-0.2,0-0.2,0-5,0-15,4001-6000,0-2000,0-2000,0-0.2
3625.22,1.0,313.27,313.27,0.0,668.47,0.25,0.25,0.0,0.42,5,4,4000.0,0.0,0.0,0.0,12,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0.21-0.4,0-0.2,0.41-0.6,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
2386.33,1.0,5217.62,4789.09,428.53,0.0,0.92,0.92,0.5,0.0,0,42,7500.0,5678.73,1311.51,0.08,12,1,2001-4000,0.81-1,4001-6000,4001-6000,0-2000,0-2000,0.81-1,0.81-1,0.41-0.6,0-0.2,0-5,31-45,6001-8000,4001-6000,0-2000,0-0.2
3971.14,1.0,0.0,0.0,0.0,224.58,0.0,0.0,0.0,0.18,3,0,4000.0,764.94,1600.21,0.0,11,0,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
5493.9,1.0,229.0,0.0,229.0,970.59,0.42,0.0,0.33,0.33,4,6,6000.0,2110.56,1895.03,0.0,12,1,4001-6000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.41-0.6,0-0.2,0.21-0.4,0.21-0.4,0-5,0-15,4001-6000,2001-4000,0-2000,0-0.2
1879.11,0.73,113.0,113.0,0.0,0.0,0.17,0.17,0.0,0.0,0,2,6500.0,3509.69,548.11,0.0,12,1,0-2000,0.61-0.8,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,6001-8000,2001-4000,0-2000,0-0.2
1555.79,1.0,66.2,66.2,0.0,0.0,0.08,0.08,0.0,0.0,0,1,1600.0,338.08,837.22,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
809.58,0.91,0.0,0.0,0.0,3819.67,0.0,0.0,0.0,0.55,7,0,4150.0,4372.15,241.65,0.09,11,0,0-2000,0.81-1,0-2000,0-2000,0-2000,2001-4000,0-0.2,0-0.2,0-0.2,0.41-0.6,6-10,0-15,4001-6000,4001-6000,0-2000,0-0.2
7.15,0.09,840.0,840.0,0.0,0.0,0.08,0.08,0.0,0.0,0,1,1600.0,0.0,0.0,0.0,12,0,0-2000,0-0.2,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
1923.89,1.0,1887.64,0.0,1887.64,1605.95,1.0,0.0,1.0,0.08,4,61,1850.0,3688.05,3267.0,0.08,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,61-75,0-2000,2001-4000,2001-4000,0-0.2
1758.06,1.0,412.33,325.21,87.12,0.0,0.58,0.33,0.17,0.0,0,11,1800.0,777.45,897.91,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.41-0.6,0.21-0.4,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
809.85,0.88,0.0,0.0,0.0,908.42,0.0,0.0,0.0,0.12,1,0,1500.0,146.07,179.41,0.0,8,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
1576.31,1.0,0.0,0.0,0.0,382.91,0.0,0.0,0.0,0.42,6,0,2500.0,540.02,352.88,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0.41-0.6,6-10,0-15,2001-4000,0-2000,0-2000,0-0.2
3990.52,1.0,263.5,190.6,72.9,0.0,0.67,0.08,0.58,0.0,0,8,6000.0,6876.84,1001.61,0.08,12,1,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.41-0.6,0-0.2,0-5,0-15,4001-6000,6001-8000,0-2000,0-0.2
1699.44,1.0,1363.69,1363.69,0.0,0.0,0.33,0.33,0.0,0.0,0,4,1700.0,1623.82,923.51,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0.21-0.4,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
5487.68,1.0,419.1,0.0,419.1,625.4,0.92,0.0,0.83,0.33,4,11,6250.0,1288.21,2180.88,0.0,12,1,4001-6000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0.21-0.4,0-5,0-15,6001-8000,0-2000,2001-4000,0-0.2
2990.42,0.91,4523.27,1664.09,2859.18,27296.49,0.67,0.5,0.58,0.83,27,33,7000.0,28232.69,1107.03,0.45,12,1,2001-4000,0.81-1,4001-6000,0-2000,2001-4000,>10001,0.61-0.8,0.41-0.6,0.41-0.6,0.81-1,26-30,31-45,6001-8000,>20000,0-2000,0.41-0.6
656.01,1.0,0.0,0.0,0.0,1474.35,0.0,0.0,0.0,0.12,3,0,7000.0,910.46,140.98,0.25,8,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,6001-8000,0-2000,0-2000,0.21-0.4
1808.97,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.02,622.76,0.0,10,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.41-0.6,0-0.2,0.21-0.4,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
532.33,0.91,791.94,516.64,275.3,0.0,0.27,0.09,0.18,0.0,0,7,6000.0,1305.18,175.51,0.0,11,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0-0.2,0-0.2,0-0.2,0-5,0-15,4001-6000,0-2000,0-2000,0-0.2
5860.43,1.0,561.87,249.5,312.37,0.0,0.83,0.17,0.75,0.0,0,14,6000.0,1990.04,2161.43,0.0,12,1,4001-6000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.61-0.8,0-0.2,0-5,0-15,4001-6000,0-2000,2001-4000,0-0.2
1727.64,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.92,623.66,0.0,12,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0.81-1,0-0.2,0-0.2,0-5,16-30,10001-12000,2001-4000,0-2000,0-0.2
578.81,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.67,0.0,0,8,1500.0,1438.91,190.19,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.61-0.8,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
1205.72,1.0,0.0,0.0,0.0,38.33,0.0,0.0,0.0,0.08,1,0,1200.0,29.28,8242.69,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,8001-10000,0-0.2
6593.82,1.0,388.66,388.66,0.0,4621.93,0.58,0.58,0.0,0.42,7,7,7000.0,1624.58,2503.4,0.0,12,1,6001-8000,0.81-1,0-2000,0-2000,0-2000,4001-6000,0.41-0.6,0.41-0.6,0-0.2,0.41-0.6,6-10,0-15,6001-8000,0-2000,2001-4000,0-0.2
17.36,0.91,244.85,40.21,204.64,0.0,0.67,0.17,0.58,0.0,0,13,5000.0,357.8,121.52,0.18,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.41-0.6,0-0.2,0-5,0-15,4001-6000,0-2000,0-2000,0-0.2
81.58,0.27,0.0,0.0,0.0,2985.3,0.0,0.0,0.0,0.17,5,0,9500.0,116.57,164.69,0.0,12,1,0-2000,0.21-0.4,0-2000,0-2000,0-2000,2001-4000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,8001-10000,0-2000,0-2000,0-0.2
3.79,0.64,133.05,28.2,104.85,0.0,0.42,0.17,0.25,0.0,0,5,12000.0,210.05,99.53,0.44,12,1,0-2000,0.61-0.8,0-2000,0-2000,0-2000,0-2000,0.41-0.6,0-0.2,0.21-0.4,0-0.2,0-5,0-15,10001-12000,0-2000,0-2000,0.41-0.6
